	name	rarity	wins	losses	games	W/L	AdjustedGames	WARC
85	Gatebreaker Ram	uncommon	205	238	443	0.46275395033860045	1181.3333333333333	74.1333333333333
246	Undercity's Embrace	common	300	266	566	0.5300353356890459	566.0	73.59999999999998
14	Azorius Locket	common	350	345	695	0.5035971223021583	695.0	71.99999999999997
13	Azorius Knight-Arbiter	common	319	306	625	0.5104	625.0	68.99999999999996
76	Flames of the Raze-Boar	uncommon	137	141	278	0.49280575539568344	741.3333333333333	68.79999999999997
0	Absorb	rare	42	42	84	0.5	672.0	67.19999999999999
89	Get the Point	common	363	377	740	0.4905405405405405	740.0	66.99999999999997
142	Open the Gates	common	278	250	528	0.5265151515151515	528.0	66.79999999999998
5	Angelic Exaltation	uncommon	99	86	185	0.5351351351351351	493.3333333333333	66.66666666666664
107	Haazda Officer	common	309	301	610	0.5065573770491804	610.0	65.0
9	Arrester's Zeal	common	283	262	545	0.5192660550458715	545.0	64.99999999999997
157	Prying Eyes	common	319	317	636	0.5015723270440252	636.0	64.60000000000002
227	Sylvan Brushstrider	common	273	249	522	0.5229885057471264	522.0	64.19999999999997
39	Cindervines	rare	34	31	65	0.5230769230769231	520.0	64.0
11	Axebane Beast	common	315	313	628	0.5015923566878981	628.0	63.80000000000002
240	Tome of the Guildpact	rare	45	48	93	0.4838709677419355	744.0	62.39999999999999
234	Thirsting Shade	common	222	179	401	0.5536159600997507	401.0	61.60000000000001
159	Quench	common	328	340	668	0.49101796407185627	668.0	60.799999999999976
92	Glass of the Guildpact	rare	28	24	52	0.5384615384615384	416.0	57.59999999999998
201	Simic Locket	common	314	332	646	0.48606811145510836	646.0	55.59999999999999
216	Spikewheel Acrobat	common	278	279	557	0.4991023339317774	557.0	55.19999999999999
189	Screaming Shield	uncommon	107	109	216	0.49537037037037035	576.0	54.93333333333331
247	Verity Circle	rare	37	39	76	0.4868421052631579	608.0	52.8
102	Gruul Locket	common	226	211	437	0.517162471395881	437.0	51.19999999999999
40	Civic Stalwart	common	211	191	402	0.5248756218905473	402.0	50.19999999999999
91	Gift of Strength	common	338	384	722	0.46814404432132967	722.0	49.2
134	Mass Manipulation	rare	46	56	102	0.45098039215686275	816.0	41.59999999999999
167	Rally to Battle	uncommon	70	66	136	0.5147058823529411	362.66666666666663	41.599999999999966
1	Act of Treason	common	208	212	420	0.49523809523809526	420.0	40.0
70	Expose to Daylight	common	207	211	418	0.49521531100478466	418.0	39.79999999999998
112	Humongulus	common	242	272	514	0.4708171206225681	514.0	36.399999999999984
222	Storm Strike	common	194	200	394	0.49238578680203043	394.0	36.399999999999984
126	Knight of Sorrows	common	193	202	395	0.48860759493670886	395.0	34.999999999999986
160	Rafter Demon	common	176	179	355	0.49577464788732395	355.0	33.99999999999999
252	Watchful Giant	common	168	168	336	0.5	336.0	33.599999999999994
71	Eyes Everywhere	uncommon	77	84	161	0.4782608695652174	429.3333333333333	33.599999999999994
197	Shimmer of Possibility	common	231	267	498	0.463855421686747	498.0	31.799999999999986
36	Catacomb Crocodile	common	164	176	340	0.4823529411764706	340.0	27.999999999999996
73	Feral Maaka	common	146	154	300	0.4866666666666667	300.0	26.0
253	Wilderness Reclamation	uncommon	92	114	206	0.44660194174757284	549.3333333333333	25.599999999999998
137	Mirror March	rare	34	43	77	0.44155844155844154	616.0	25.599999999999973
16	Bankrupt in Blood	uncommon	29	21	50	0.58	133.33333333333331	23.99999999999999
171	Repudiate // Replicate	rare	48	65	113	0.4247787610619469	904.0	22.399999999999974
211	Spear Spewer	common	149	169	318	0.46855345911949686	318.0	21.799999999999994
43	Clear the Mind	common	184	222	406	0.45320197044334976	406.0	21.59999999999999
93	Goblin Gathering	common	136	151	287	0.4738675958188153	287.0	21.199999999999992
122	Junktroller	uncommon	64	78	142	0.4507042253521127	378.66666666666663	19.199999999999992
156	Prowling Caracal	common	76	67	143	0.5314685314685315	143.0	18.799999999999994
123	Justiciar's Portal	common	104	112	216	0.48148148148148145	216.0	17.59999999999999
163	Rakdos Locket	common	161	202	363	0.44352617079889806	363.0	15.799999999999986
37	Cavalcade of Calamity	uncommon	39	45	84	0.4642857142857143	224.0	14.399999999999999
199	Simic Ascendancy	rare	57	81	138	0.41304347826086957	1104.0	14.399999999999977
20	Benthic Biomancer	rare	54	77	131	0.4122137404580153	1048.0	12.799999999999997
241	Tower Defense	uncommon	42	54	96	0.4375	256.0	9.599999999999994
184	Saruli Caretaker	common	112	145	257	0.4357976653696498	257.0	9.199999999999996
170	Regenesis	uncommon	50	67	117	0.42735042735042733	312.0	8.53333333333332
183	Sagittars' Volley	common	72	87	159	0.4528301886792453	159.0	8.399999999999999
190	Scuttlegator	common	168	232	400	0.42	400.0	7.999999999999985
51	Coral Commando	common	61	74	135	0.45185185185185184	135.0	6.999999999999995
209	Smothering Tithe	rare	20	28	48	0.4166666666666667	384.0	6.399999999999999
147	Persistent Petitioners	common	64	80	144	0.4444444444444444	144.0	6.399999999999993
57	Deface	common	17	10	27	0.6296296296296297	27.0	6.2
176	Root Snare	common	39	48	87	0.4482758620689655	87.0	4.199999999999998
31	Burn Bright	common	80	111	191	0.418848167539267	191.0	3.599999999999995
177	Rubble Reading	common	18	21	39	0.46153846153846156	39.0	2.4000000000000004
77	Font of Agonies	rare	2	3	5	0.4	40.0	0.0
33	Captive Audience	mythic	22	33	55	0.4	880.0	0.0
152	Plaza of Harmony	rare	6	9	15	0.4	120.0	0.0
86	Gates Ablaze	uncommon	56	85	141	0.3971631205673759	376.0	-1.0666666666666682
188	Scrabbling Claws	uncommon	4	9	13	0.3076923076923077	34.666666666666664	-3.2
10	Awaken the Erstwhile	rare	7	12	19	0.3684210526315789	152.0	-4.800000000000006
128	Lavinia, Azorius Renegade	rare	7	12	19	0.3684210526315789	152.0	-4.800000000000006
220	Stomping Ground	rare	31	48	79	0.3924050632911392	632.0	-4.800000000000026
65	Emergency Powers	mythic	6	15	21	0.2857142857142857	336.0	-38.40000000000001
